id,type,start_id,end_id
1152921504606846976,SUBCLASS_OF,0,5
1152928101676613632,HAS_USE,0,22
1155179901490298880,HAS_USE,0,23
1157431701303984128,HAS_USE,0,24
1159683501117669376,HAS_USE,0,25
1161935300931354624,HAS_USE,0,26
1152921504606846978,SUBCLASS_OF,2,4
1152921504606846979,SUBCLASS_OF,3,4
1152921504606846980,SUBCLASS_OF,4,1
1155173304420532229,SUBCLASS_OF,5,1
1152928101676613637,HAS_USE,5,22
1155179901490298885,HAS_USE,5,23
1157431701303984133,HAS_USE,5,24
1159683501117669381,HAS_USE,5,25
1161935300931354629,HAS_USE,5,26
1152921504606846982,SUBCLASS_OF,6,2
1152921504606846983,SUBCLASS_OF,7,3
1152921504606846984,SUBCLASS_OF,8,7
1152924803141730312,MADE_FROM,8,5
1152922604118474761,INSTANCE_OF,9,8
1152924803141730313,MADE_FROM,9,17
1152921504606846988,SUBCLASS_OF,12,3
1152924803141730316,MADE_FROM,12,5
1152921504606846989,SUBCLASS_OF,13,3
1152924803141730317,MADE_FROM,13,5
1155173304420532238,SUBCLASS_OF,14,6
1152927002164985870,CONTAINS,14,17
1152921504606846991,SUBCLASS_OF,15,14
1152921504606846992,SUBCLASS_OF,16,3
1152924803141730320,MADE_FROM,16,5
1152922604118474769,INSTANCE_OF,17,0
1152923703630102545,USED_FOR,17,9
1152925902653358097,PACKED_IN,17,14
1152921504606846995,SUBCLASS_OF,19,5
1152921504606846996,SUBCLASS_OF,20,3
1152924803141730324,MADE_FROM,20,5
1152922604118474774,INSTANCE_OF,22,21
1152922604118474775,INSTANCE_OF,23,21
1152922604118474776,INSTANCE_OF,24,21
1152922604118474777,INSTANCE_OF,25,21
1152922604118474778,INSTANCE_OF,26,21
1152922604118474779,INSTANCE_OF,27,0
1152925902653358107,PACKED_IN,27,28
1155174403932160028,INSTANCE_OF,28,6
